Date,Open,High,Low,Close,Volume
2012-08-21,3271.26,3271.26,3271.26,3271.26,25940807
2012-08-22,3242.51,3242.51,3242.51,3242.51,23018943
2012-08-23,3240.99,3240.99,3240.99,3240.99,23788622
2012-08-24,3248.11,3248.11,3248.11,3248.11,20260537
2012-08-27,3239.37,3239.37,3239.37,3239.37,12386637
2012-08-28,3205.68,3205.68,3205.68,3205.68,20726812
2012-08-29,3180.45,3180.45,3180.45,3180.45,22455654
2012-08-30,3168.43,3168.43,3168.43,3168.43,50183754
2012-08-31,3212.83,3212.83,3212.83,3212.83,44812952
2012-09-03,3222.48,3222.48,3222.48,3222.48,17363584
2012-09-04,3198.88,3198.88,3198.88,3198.88,13234456
2012-09-05,3216.5,3216.5,3216.5,3216.5,25209737
2012-09-06,3267.74,3267.74,3267.74,3267.74,27883565
2012-09-07,3296.66,3296.66,3296.66,3296.66,37902507
2012-09-10,3322.39,3322.39,3322.39,3322.39,32094763
2012-09-11,3347.4,3347.4,3347.4,3347.4,17510306
2012-09-12,3339.36,3339.36,3339.36,3339.36,29301855
2012-09-13,3348.3,3348.3,3348.3,3348.3,38690363
2012-09-14,3439.08,3439.08,3439.08,3439.08,78410485
2012-09-17,3419.04,3419.04,3419.04,3419.04,20786552
2012-09-18,3422.14,3422.14,3422.14,3422.14,54709567
2012-09-19,3438.11,3438.11,3438.11,3438.11,41015163
2012-09-20,3396.59,3396.59,3396.59,3396.59,39983114
2012-09-21,3386.45,3386.45,3386.45,3386.45,46415310
2012-09-24,3368.09,3368.09,3368.09,3368.09,29005235
2012-09-25,3388.89,3388.89,3388.89,3388.89,27665480
2012-09-26,3353.76,3353.76,3353.76,3353.76,28406848
2012-09-27,3380.24,3380.24,3380.24,3380.24,33085975
2012-09-28,3373.79,3373.79,3373.79,3373.79,50370619
2012-10-01,3414.15,3414.15,3414.15,3414.15,38583747
2012-10-02,3413.44,3413.44,3413.44,3413.44,58186781
2012-10-03,3398.49,3398.49,3398.49,3398.49,49702097
2012-10-04,3372.01,3372.01,3372.01,3372.01,25306410
2012-10-05,3430.19,3430.19,3430.19,3430.19,26125176
2012-10-08,3415.85,3415.85,3415.85,3415.85,48661303
2012-10-09,3380.64,3380.64,3380.64,3380.64,43433036
2012-10-10,3403.53,3403.53,3403.53,3403.53,47523033
2012-10-11,3406.21,3406.21,3406.21,3406.21,36622571
2012-10-12,3380.17,3380.17,3380.17,3380.17,24351556
2012-10-15,3382.04,3382.04,3382.04,3382.04,22852482
2012-10-16,3411.57,3411.57,3411.57,3411.57,23209469
2012-10-17,3402.45,3402.45,3402.45,3402.45,73707865
2012-10-18,3411.5,3411.5,3411.5,3411.5,42105553
2012-10-19,3343.67,3343.67,3343.67,3343.67,42326948
2012-10-22,3344.17,3344.17,3344.17,3344.17,23107477
2012-10-23,3286.77,3286.77,3286.77,3286.77,28250493
2012-10-24,3302.8,3302.8,3302.8,3302.8,22726049
2012-10-25,3312.87,3312.87,3312.87,3312.87,39840788
2012-10-26,3300.74,3300.74,3300.74,3300.74,18396593
2012-10-29,3295.48,3295.48,3295.48,3295.48,22171457
2012-10-30,3305.35,3305.35,3305.35,3305.35,17571706
2012-10-31,3297.16,3297.16,3297.16,3297.16,20855809
2012-11-02,3337.6,3337.6,3337.6,3337.6,37392509
2012-11-05,3334.64,3334.64,3334.64,3334.64,18516846
2012-11-06,3333.05,3333.05,3333.05,3333.05,65644545
2012-11-07,3307.95,3307.95,3307.95,3307.95,29179595
2012-11-08,3326.33,3326.33,3326.33,3326.33,26163222
2012-11-09,3306.29,3306.29,3306.29,3306.29,28842867
2012-11-12,3322,3322,3322,3322,26064603
2012-11-13,3349.44,3349.44,3349.44,3349.44,30346618
2012-11-14,3367.18,3367.18,3367.18,3367.18,51104486
2012-11-15,3374.28,3374.28,3374.28,3374.28,44780508
2012-11-16,3368.55,3368.55,3368.55,3368.55,36731026
